batch_id,variety_id,method,sow_date,ready_from,seeds_sown,seedlings_ready,seedlings_sold,seedlings_unsold,germination_rate,seed_cost_inr,raising_cost_inr
B00043,V01,Pro-tray,2024-11-30,2025-01-01,2371,2202,2000,202,0.929,1422.6,653.55
B00044,V01,Pro-tray,2024-12-31,2025-02-01,7938,7150,6600,550,0.901,4762.8,2122.12
B00045,V01,Pro-tray,2025-01-28,2025-03-01,3058,2760,2600,160,0.903,1834.8,819.17
B00046,V01,Pro-tray,2025-02-28,2025-04-01,19992,18103,16900,1203,0.906,11995.2,5372.97
B00047,V01,Pro-tray,2025-03-30,2025-05-01,56158,50285,46560,3725,0.895,33694.8,14924.59
B00048,V01,Pro-tray,2025-04-30,2025-06-01,112853,100671,90260,10411,0.892,67711.8,29879.15
B00049,V01,Pro-tray,2025-05-30,2025-07-01,85689,79382,68250,11132,0.926,51413.4,23560.58
B00050,V01,Pro-tray,2025-06-30,2025-08-01,112307,102947,97410,5537,0.917,67384.2,30554.67
B00051,V01,Pro-tray,2025-07-31,2025-09-01,105709,95458,85310,10148,0.903,63425.4,28331.93
B00052,V01,Pro-tray,2025-08-30,2025-10-01,25013,23266,21550,1716,0.93,15007.8,6905.35
B00053,V01,Pro-tray,2025-09-30,2025-11-01,30576,28524,24900,3624,0.933,18345.6,8465.92
B00054,V01,Pro-tray,2025-10-30,2025-12-01,21611,20150,17730,2420,0.932,12966.6,5980.52
B00055,V01,Pro-tray,2025-11-30,2026-01-01,15834,14191,12600,1591,0.896,9500.4,4450.3
B00056,V01,Pro-tray,2025-12-31,2026-02-01,28861,25955,22200,3755,0.899,17316.6,8139.49
B00057,V01,Pro-tray,2026-01-28,2026-03-01,7251,6407,5630,777,0.884,4350.6,2009.24
B00058,V01,Pro-tray,2026-02-28,2026-04-01,30100,28323,25900,2423,0.941,18060.0,8882.09
B00059,V01,Pro-tray,2026-03-30,2026-05-01,28460,25549,24000,1549,0.898,17076.0,8012.17
B00060,V01,Pro-tray,2026-04-30,2026-06-01,105770,96914,90190,6724,0.916,63462.0,30392.23
B00061,V01,Pro-tray,2026-05-30,2026-07-01,212548,195807,174140,21667,0.921,127528.8,61405.08
B00062,V01,Pro-tray,2026-06-30,2026-08-01,230813,205210,180020,25190,0.889,138487.8,64353.86
B00063,V02,Nursery bed,2023-11-30,2024-01-01,5660,4802,4100,702,0.848,3282.8,384.16
B00064,V02,Nursery bed,2024-01-29,2024-03-01,2500,1852,1600,252,0.741,1450.0,148.16
B00065,V02,Nursery bed,2024-02-29,2024-04-01,2565,2115,1800,315,0.825,1487.7,169.2
B00066,V02,Nursery bed,2024-03-30,2024-05-01,4623,3488,3100,388,0.754,2681.34,279.04
B00067,V02,Nursery bed,2024-04-30,2024-06-01,40046,31837,27500,4337,0.795,23226.68,2546.96
B00068,V02,Nursery bed,2024-05-30,2024-07-01,68553,50084,44800,5284,0.731,39760.74,4006.72
B00069,V02,Nursery bed,2024-06-30,2024-08-01,83940,65729,55800,9929,0.783,48685.2,5258.32
B00070,V02,Nursery bed,2024-07-31,2024-09-01,27706,23133,19700,3433,0.835,16069.48,1850.64
B00071,V02,Nursery bed,2024-08-30,2024-10-01,1059,865,800,65,0.817,614.22,69.2
B00072,V02,Nursery bed,2024-09-30,2024-11-01,6272,5098,4400,698,0.813,3637.76,407.84
B00073,V02,Nursery bed,2024-10-30,2024-12-01,19816,15086,13400,1686,0.761,11493.28,1206.88
B00074,V02,Nursery bed,2024-11-30,2025-01-01,5680,4170,3900,270,0.734,3294.4,353.62
B00075,V02,Nursery bed,2024-12-31,2025-02-01,2162,1677,1500,177,0.776,1253.96,142.21
B00076,V02,Nursery bed,2025-01-28,2025-03-01,5952,4642,4400,242,0.78,3452.16,393.64
B00077,V02,Nursery bed,2025-03-30,2025-05-01,33718,28084,25800,2284,0.833,19556.44,2381.52
B00078,V02,Nursery bed,2025-04-30,2025-06-01,14662,12431,11500,931,0.848,8503.96,1054.15
B00079,V02,Nursery bed,2025-05-30,2025-07-01,44622,36278,32700,3578,0.813,25880.76,3076.37
B00080,V02,Nursery bed,2025-06-30,2025-08-01,37180,26876,23800,3076,0.723,21564.4,2279.08
B00081,V02,Nursery bed,2025-07-31,2025-09-01,28015,20295,19200,1095,0.724,16248.7,1721.02
B00082,V02,Nursery bed,2025-08-30,2025-10-01,12346,10032,9000,1032,0.813,7160.68,850.71
B00083,V02,Nursery bed,2025-10-30,2025-12-01,27739,23398,21100,2298,0.844,16088.62,1984.15
B00084,V02,Nursery bed,2026-02-28,2026-04-01,1596,1369,1300,69,0.858,925.68,122.66
B00085,V02,Nursery bed,2026-03-30,2026-05-01,4701,3991,3700,291,0.849,2726.58,357.59
B00086,V02,Nursery bed,2026-04-30,2026-06-01,21921,16364,14700,1664,0.747,12714.18,1466.21
B00087,V02,Nursery bed,2026-05-30,2026-07-01,9482,7692,6800,892,0.811,5499.56,689.2
B00088,V02,Nursery bed,2026-06-30,2026-08-01,28194,21695,19200,2495,0.769,16352.52,1943.87
B00089,V02,Pro-tray,2023-11-30,2024-01-01,4845,4416,4100,316,0.912,2810.1,1236.48
B00090,V02,Pro-tray,2024-01-29,2024-03-01,7074,6243,5500,743,0.883,4102.92,1748.04
B00091,V02,Pro-tray,2024-02-29,2024-04-01,8712,8032,7200,832,0.922,5052.96,2248.96
B00092,V02,Pro-tray,2024-03-30,2024-05-01,27534,25100,22500,2600,0.912,15969.72,7028.0
B00093,V02,Pro-tray,2024-04-30,2024-06-01,22019,19550,17170,2380,0.888,12771.02,5474.0
B00094,V02,Pro-tray,2024-05-30,2024-07-01,47910,45045,42300,2745,0.94,27787.8,12612.6
B00095,V02,Pro-tray,2024-06-30,2024-08-01,33113,30925,28000,2925,0.934,19205.54,8659.0
B00096,V02,Pro-tray,2024-07-31,2024-09-01,63677,59549,53380,6169,0.935,36932.66,16673.72
B00097,V02,Pro-tray,2024-08-30,2024-10-01,10598,9490,8600,890,0.896,6146.84,2657.2
B00098,V02,Pro-tray,2024-09-30,2024-11-01,9002,7998,7600,398,0.889,5221.16,2239.44
B00099,V02,Pro-tray,2024-10-30,2024-12-01,8391,7402,6300,1102,0.882,4866.78,2072.56
B00100,V02,Pro-tray,2024-12-31,2025-02-01,2224,2111,2000,111,0.949,1289.92,626.54
B00101,V02,Pro-tray,2025-01-28,2025-03-01,6108,5456,4900,556,0.893,3542.64,1619.34
B00102,V02,Pro-tray,2025-02-28,2025-04-01,1276,1180,1100,80,0.925,740.08,350.22
B00103,V02,Pro-tray,2025-03-30,2025-05-01,28893,25855,23150,2705,0.895,16757.94,7673.76
B00104,V02,Pro-tray,2025-04-30,2025-06-01,36618,32350,28900,3450,0.883,21238.44,9601.48
B00105,V02,Pro-tray,2025-05-30,2025-07-01,33281,31344,26600,4744,0.942,19302.98,9302.9
B00106,V02,Pro-tray,2025-06-30,2025-08-01,25521,23424,21330,2094,0.918,14802.18,6952.24
B00107,V02,Pro-tray,2025-07-31,2025-09-01,36500,34084,29200,4884,0.934,21170.0,10116.13
B00108,V02,Pro-tray,2025-08-30,2025-10-01,16502,15079,13000,2079,0.914,9571.16,4475.45
B00109,V02,Pro-tray,2025-09-30,2025-11-01,8773,7982,7200,782,0.91,5088.34,2369.06
B00110,V02,Pro-tray,2025-10-30,2025-12-01,3606,3319,3000,319,0.92,2091.48,985.08
B00111,V02,Pro-tray,2025-11-30,2026-01-01,779,699,600,99,0.898,451.82,219.21
B00112,V02,Pro-tray,2025-12-31,2026-02-01,4855,4596,4100,496,0.947,2815.9,1441.31
B00113,V02,Pro-tray,2026-01-28,2026-03-01,21356,19972,18500,1472,0.935,12386.48,6263.22
B00114,V02,Pro-tray,2026-02-28,2026-04-01,10273,9539,8750,789,0.929,5958.34,2991.43
B00115,V02,Pro-tray,2026-03-30,2026-05-01,67772,60456,54300,6156,0.892,39307.76,18959.0
B00116,V02,Pro-tray,2026-04-30,2026-06-01,56014,49412,45420,3992,0.882,32488.12,15495.6
B00117,V02,Pro-tray,2026-05-30,2026-07-01,49527,44360,39800,4560,0.896,28725.66,13911.3
B00118,V02,Pro-tray,2026-06-30,2026-08-01,40702,37231,32700,4531,0.915,23607.16,11675.64
B00119,V03,Nursery bed,2023-11-29,2024-01-01,2555,1883,1700,183,0.737,1737.4,150.64
B00120,V03,Nursery bed,2023-12-30,2024-02-01,4609,3347,2900,447,0.726,3134.12,267.76
B00121,V03,Nursery bed,2024-01-28,2024-03-01,19532,16504,14000,2504,0.845,13281.76,1320.32
B00122,V03,Nursery bed,2024-02-28,2024-04-01,5417,4294,3700,594,0.793,3683.56,343.52
B00123,V03,Nursery bed,2024-03-29,2024-05-01,33626,26372,24500,1872,0.784,22865.68,2109.76
B00124,V03,Nursery bed,2024-04-29,2024-06-01,48173,40342,38200,2142,0.837,32757.64,3227.36
B00125,V03,Nursery bed,2024-05-29,2024-07-01,54709,43940,37500,6440,0.803,37202.12,3515.2
B00126,V03,Nursery bed,2024-06-29,2024-08-01,67143,50893,47000,3893,0.758,45657.24,4071.44
B00127,V03,Nursery bed,2024-07-30,2024-09-01,43119,31678,28400,3278,0.735,29320.92,2534.24
B00128,V03,Nursery bed,2024-08-29,2024-10-01,8141,6587,5900,687,0.809,5535.88,526.96
B00129,V03,Nursery bed,2024-09-29,2024-11-01,18592,14266,12900,1366,0.767,12642.56,1141.28
B00130,V03,Nursery bed,2024-10-29,2024-12-01,4065,3401,2900,501,0.837,2764.2,272.08
B00131,V03,Nursery bed,2024-12-30,2025-02-01,1480,1133,1000,133,0.766,1006.4,96.08
B00132,V03,Nursery bed,2025-01-27,2025-03-01,14911,12457,11000,1457,0.835,10139.48,1056.35
B00133,V03,Nursery bed,2025-02-27,2025-04-01,39564,33408,29400,4008,0.844,26903.52,2833.0
B00134,V03,Nursery bed,2025-03-29,2025-05-01,24825,18732,16600,2132,0.755,16881.0,1588.47
B00135,V03,Nursery bed,2025-04-29,2025-06-01,29743,23741,21700,2041,0.798,20225.24,2013.24
B00136,V03,Nursery bed,2025-05-29,2025-07-01,45451,33241,28700,4541,0.731,30906.68,2818.84
B00137,V03,Nursery bed,2025-06-29,2025-08-01,55671,46258,43900,2358,0.831,37856.28,3922.68
B00138,V03,Nursery bed,2025-07-30,2025-09-01,22664,18619,16400,2219,0.822,15411.52,1578.89
B00139,V03,Nursery bed,2025-08-29,2025-10-01,4786,3689,3200,489,0.771,3254.48,312.83
B00140,V03,Nursery bed,2025-09-29,2025-11-01,5283,4416,3800,616,0.836,3592.44,374.48
B00141,V03,Nursery bed,2025-10-29,2025-12-01,2257,1649,1500,149,0.731,1534.76,139.84
B00142,V03,Nursery bed,2025-11-29,2026-01-01,12016,8702,7600,1102,0.724,8170.88,779.7
B00143,V03,Nursery bed,2026-01-27,2026-03-01,9280,7229,6300,929,0.779,6310.4,647.72
B00144,V03,Nursery bed,2026-02-27,2026-04-01,21779,18102,17100,1002,0.831,14809.72,1621.94
B00145,V03,Nursery bed,2026-03-29,2026-05-01,4448,3790,3400,390,0.852,3024.64,339.58
B00146,V03,Nursery bed,2026-04-29,2026-06-01,37073,31712,29700,2012,0.855,25209.64,2841.4
B00147,V03,Nursery bed,2026-05-29,2026-07-01,24527,18863,17000,1863,0.769,16678.36,1690.12
B00148,V03,Nursery bed,2026-06-29,2026-08-01,76814,65415,61500,3915,0.852,52233.52,5861.18
B00149,V03,Pro-tray,2023-11-29,2024-01-01,3836,3522,3300,222,0.918,2608.48,986.16
B00150,V03,Pro-tray,2024-01-28,2024-03-01,1892,1694,1500,194,0.896,1286.56,474.32
B00151,V03,Pro-tray,2024-02-28,2024-04-01,5802,5219,4800,419,0.9,3945.36,1461.32
B00152,V03,Pro-tray,2024-03-29,2024-05-01,9721,9010,7800,1210,0.927,6610.28,2522.8
B00153,V03,Pro-tray,2024-04-29,2024-06-01,69959,61730,57200,4530,0.882,47572.12,17284.4
B00154,V03,Pro-tray,2024-05-29,2024-07-01,152542,139861,119720,20141,0.917,103728.56,39161.08
B00155,V03,Pro-tray,2024-06-29,2024-08-01,34382,31148,28640,2508,0.906,23379.76,8721.44
B00156,V03,Pro-tray,2024-07-30,2024-09-01,16732,14834,13770,1064,0.887,11377.76,4153.52
B00157,V03,Pro-tray,2024-08-29,2024-10-01,8530,7803,7170,633,0.915,5800.4,2184.84
B00158,V03,Pro-tray,2024-09-29,2024-11-01,2601,2397,2200,197,0.922,1768.68,671.16
B00159,V03,Pro-tray,2024-10-29,2024-12-01,24404,21882,19300,2582,0.897,16594.72,6126.96
B00160,V03,Pro-tray,2024-11-29,2025-01-01,3268,3041,2600,441,0.931,2222.24,902.57
B00161,V03,Pro-tray,2024-12-30,2025-02-01,12248,11263,9600,1663,0.92,8328.64,3342.86
B00162,V03,Pro-tray,2025-01-27,2025-03-01,50742,45421,40600,4821,0.895,34504.56,13480.95
B00163,V03,Pro-tray,2025-02-27,2025-04-01,27519,25105,22020,3085,0.912,18712.92,7451.16
B00164,V03,Pro-tray,2025-03-29,2025-05-01,30954,27741,26000,1741,0.896,21048.72,8233.53
B00165,V03,Pro-tray,2025-04-29,2025-06-01,80035,72888,64020,8868,0.911,54423.8,21633.16
B00166,V03,Pro-tray,2025-05-29,2025-07-01,81141,75482,66350,9132,0.93,55175.88,22403.06
B00167,V03,Pro-tray,2025-06-29,2025-08-01,44090,40798,38100,2698,0.925,29981.2,12108.85
B00168,V03,Pro-tray,2025-07-30,2025-09-01,51496,48170,42900,5270,0.935,35017.28,14296.86
B00169,V03,Pro-tray,2025-08-29,2025-10-01,18744,16584,15310,1274,0.885,12745.92,4922.13
B00170,V03,Pro-tray,2025-09-29,2025-11-01,26012,23374,21900,1474,0.899,17688.16,6937.4
B00171,V03,Pro-tray,2025-10-29,2025-12-01,6552,5830,5000,830,0.89,4455.36,1730.34
B00172,V03,Pro-tray,2025-11-29,2026-01-01,11991,10929,9900,1029,0.911,8153.88,3427.33
B00173,V03,Pro-tray,2025-12-30,2026-02-01,4452,4170,3800,370,0.937,3027.36,1307.71
B00174,V03,Pro-tray,2026-01-27,2026-03-01,7519,6784,6300,484,0.902,5112.92,2127.46
B00175,V03,Pro-tray,2026-02-27,2026-04-01,13114,11620,10800,820,0.886,8917.52,3644.03
B00176,V03,Pro-tray,2026-03-29,2026-05-01,30598,28679,25530,3149,0.937,20806.64,8993.73
B00177,V03,Pro-tray,2026-04-29,2026-06-01,77891,71752,65360,6392,0.921,52965.88,22501.43
B00178,V03,Pro-tray,2026-05-29,2026-07-01,92689,84755,74630,10125,0.914,63028.52,26579.17
B00179,V03,Pro-tray,2026-06-29,2026-08-01,74543,67770,62000,5770,0.909,50689.24,21252.67
B00180,V04,Nursery bed,2023-12-30,2024-02-01,1000,755,700,55,0.755,700.0,60.4
B00181,V04,Nursery bed,2024-04-29,2024-06-01,1856,1484,1400,84,0.8,1299.2,118.72
B00182,V04,Nursery bed,2024-06-29,2024-08-01,17610,13073,11600,1473,0.742,12327.0,1045.84
B00183,V04,Nursery bed,2024-07-30,2024-09-01,10677,8893,8200,693,0.833,7473.9,711.44
B00184,V04,Nursery bed,2024-10-29,2024-12-01,4571,3297,2900,397,0.721,3199.7,263.76
B00185,V04,Nursery bed,2024-11-29,2025-01-01,5726,4155,3800,355,0.726,4008.2,352.34
B00186,V04,Nursery bed,2025-01-27,2025-03-01,735,575,500,75,0.783,514.5,48.76
B00187,V04,Nursery bed,2025-02-27,2025-04-01,3334,2761,2500,261,0.828,2333.8,234.13
B00188,V04,Nursery bed,2025-03-29,2025-05-01,9923,8358,7600,758,0.842,6946.1,708.76
B00189,V04,Nursery bed,2025-04-29,2025-06-01,1402,1102,1000,102,0.786,981.4,93.45
B00190,V04,Nursery bed,2025-05-29,2025-07-01,25284,20396,18500,1896,0.807,17698.8,1729.58
B00191,V04,Nursery bed,2025-06-29,2025-08-01,7771,6608,5700,908,0.85,5439.7,560.36
B00192,V04,Nursery bed,2025-07-30,2025-09-01,15774,12217,11600,617,0.775,11041.8,1036.0
B00193,V04,Nursery bed,2025-08-29,2025-10-01,4890,3894,3600,294,0.796,3423.0,330.21
B00194,V04,Nursery bed,2025-10-29,2025-12-01,11463,8767,7900,867,0.765,8024.1,743.44
B00195,V04,Nursery bed,2025-12-30,2026-02-01,19704,16406,14300,2106,0.833,13792.8,1469.98
B00196,V04,Nursery bed,2026-01-27,2026-03-01,28401,22665,19800,2865,0.798,19880.7,2030.78
B00197,V04,Nursery bed,2026-02-27,2026-04-01,14164,10807,9700,1107,0.763,9914.8,968.31
B00198,V04,Nursery bed,2026-03-29,2026-05-01,8687,6341,6000,341,0.73,6080.9,568.15
B00199,V04,Nursery bed,2026-04-29,2026-06-01,61210,45447,39600,5847,0.742,42847.0,4072.05
B00200,V04,Nursery bed,2026-05-29,2026-07-01,61898,52557,46500,6057,0.849,43328.6,4709.11
B00201,V04,Nursery bed,2026-06-29,2026-08-01,73720,53497,47300,6197,0.726,51604.0,4793.33
B00202,V04,Pro-tray,2024-02-28,2024-04-01,4144,3726,3200,526,0.899,2900.8,1043.28
B00203,V04,Pro-tray,2024-03-29,2024-05-01,10958,10203,9300,903,0.931,7670.6,2856.84
B00204,V04,Pro-tray,2024-04-29,2024-06-01,6905,6289,5500,789,0.911,4833.5,1760.92
B00205,V04,Pro-tray,2024-06-29,2024-08-01,2651,2505,2300,205,0.945,1855.7,701.4
B00206,V04,Pro-tray,2024-07-30,2024-09-01,3539,3305,2900,405,0.934,2477.3,925.4
B00207,V04,Pro-tray,2024-08-29,2024-10-01,3380,3031,2800,231,0.897,2366.0,848.68
B00208,V04,Pro-tray,2025-01-27,2025-03-01,720,644,600,44,0.895,504.0,191.14
B00209,V04,Pro-tray,2025-02-27,2025-04-01,10411,9388,8800,588,0.902,7287.7,2786.36
B00210,V04,Pro-tray,2025-03-29,2025-05-01,1162,1043,950,93,0.898,813.4,309.56
B00211,V04,Pro-tray,2025-04-29,2025-06-01,25424,23363,21110,2253,0.919,17796.8,6934.14
B00212,V04,Pro-tray,2025-05-29,2025-07-01,38274,34532,32420,2112,0.902,26791.8,10249.1
B00213,V04,Pro-tray,2025-06-29,2025-08-01,35436,32574,28100,4474,0.919,24805.2,9667.96
B00214,V04,Pro-tray,2025-07-30,2025-09-01,31775,29329,26100,3229,0.923,22242.5,8704.85
B00215,V04,Pro-tray,2025-08-29,2025-10-01,9133,8282,7400,882,0.907,6393.1,2458.1
B00216,V04,Pro-tray,2025-09-29,2025-11-01,47996,44490,40900,3590,0.927,33597.2,13204.63
B00217,V04,Pro-tray,2025-10-29,2025-12-01,3560,3370,3200,170,0.947,2492.0,1000.22
B00218,V04,Pro-tray,2025-11-29,2026-01-01,2608,2356,2000,356,0.903,1825.6,738.84
B00219,V04,Pro-tray,2025-12-30,2026-02-01,5418,5075,4800,275,0.937,3792.6,1591.52
B00220,V04,Pro-tray,2026-01-27,2026-03-01,6735,6096,5350,746,0.905,4714.5,1911.71
B00221,V04,Pro-tray,2026-02-27,2026-04-01,21554,19798,16900,2898,0.919,15087.8,6208.65
B00222,V04,Pro-tray,2026-03-29,2026-05-01,19068,17832,15700,2132,0.935,13347.6,5592.12
B00223,V04,Pro-tray,2026-04-29,2026-06-01,96868,89347,75730,13617,0.922,67807.6,28019.22
B00224,V04,Pro-tray,2026-05-29,2026-07-01,95129,87057,82860,4197,0.915,66590.3,27301.08
B00225,V04,Pro-tray,2026-06-29,2026-08-01,70858,66037,59060,6977,0.932,49600.6,20709.2
B00226,V05,Nursery bed,2023-11-30,2024-01-01,1456,1220,1100,120,0.838,902.72,97.6
B00227,V05,Nursery bed,2024-01-29,2024-03-01,7949,5904,5200,704,0.743,4928.38,472.32
B00228,V05,Nursery bed,2024-02-29,2024-04-01,2130,1806,1700,106,0.848,1320.6,144.48
B00229,V05,Nursery bed,2024-03-30,2024-05-01,9995,7450,6900,550,0.745,6196.9,596.0
B00230,V05,Nursery bed,2024-04-30,2024-06-01,30674,22689,20200,2489,0.74,19017.88,1815.12
B00231,V05,Nursery bed,2024-05-30,2024-07-01,46108,33691,28600,5091,0.731,28586.96,2695.28
B00232,V05,Nursery bed,2024-06-30,2024-08-01,30546,22715,21500,1215,0.744,18938.52,1817.2
B00233,V05,Nursery bed,2024-07-31,2024-09-01,11892,9118,8200,918,0.767,7373.04,729.44
B00234,V05,Nursery bed,2024-08-30,2024-10-01,9876,8251,7300,951,0.836,6123.12,660.08
B00235,V05,Nursery bed,2024-09-30,2024-11-01,19017,16310,14800,1510,0.858,11790.54,1304.8
B00236,V05,Nursery bed,2024-10-30,2024-12-01,1595,1169,1000,169,0.733,988.9,93.52
B00237,V05,Nursery bed,2024-11-30,2025-01-01,1536,1229,1100,129,0.8,952.32,104.22
B00238,V05,Nursery bed,2024-12-31,2025-02-01,3979,3116,2900,216,0.783,2466.98,264.24
B00239,V05,Nursery bed,2025-02-28,2025-04-01,13452,10378,9500,878,0.771,8340.24,880.05
B00240,V05,Nursery bed,2025-03-30,2025-05-01,34128,26278,24200,2078,0.77,21159.36,2228.37
B00241,V05,Nursery bed,2025-04-30,2025-06-01,25421,20084,17500,2584,0.79,15761.02,1703.12
B00242,V05,Nursery bed,2025-05-30,2025-07-01,22070,18856,17700,1156,0.854,13683.4,1598.99
B00243,V05,Nursery bed,2025-06-30,2025-08-01,35984,30326,27700,2626,0.843,22310.08,2571.64
B00244,V05,Nursery bed,2025-07-31,2025-09-01,14647,11609,10900,709,0.793,9081.14,984.44
B00245,V05,Nursery bed,2025-08-30,2025-10-01,9385,6937,6000,937,0.739,5818.7,588.26
B00246,V05,Nursery bed,2025-09-30,2025-11-01,6555,5191,4800,391,0.792,4064.1,440.2
B00247,V05,Nursery bed,2025-12-31,2026-02-01,1232,1046,900,146,0.849,763.84,93.72
B00248,V05,Nursery bed,2026-02-28,2026-04-01,9608,7427,6900,527,0.773,5956.96,665.46
B00249,V05,Nursery bed,2026-03-30,2026-05-01,11110,8551,7500,1051,0.77,6888.2,766.17
B00250,V05,Nursery bed,2026-04-30,2026-06-01,24975,19124,17200,1924,0.766,15484.5,1713.51
B00251,V05,Nursery bed,2026-05-30,2026-07-01,16361,13954,11900,2054,0.853,10143.82,1250.28
B00252,V05,Nursery bed,2026-06-30,2026-08-01,43044,33725,28900,4825,0.784,26687.28,3021.76
B00253,V05,Pro-tray,2023-11-30,2024-01-01,10182,9235,8300,935,0.907,6312.84,2585.8
B00254,V05,Pro-tray,2024-01-29,2024-03-01,4717,4221,3900,321,0.895,2924.54,1181.88
B00255,V05,Pro-tray,2024-02-29,2024-04-01,112,104,90,14,0.929,69.44,29.12
B00256,V05,Pro-tray,2024-03-30,2024-05-01,26239,24138,21300,2838,0.92,16268.18,6758.64
B00257,V05,Pro-tray,2024-04-30,2024-06-01,24722,22293,19100,3193,0.902,15327.64,6242.04
B00258,V05,Pro-tray,2024-05-30,2024-07-01,30693,28496,24500,3996,0.928,19029.66,7978.88
B00259,V05,Pro-tray,2024-06-30,2024-08-01,39606,36994,33300,3694,0.934,24555.72,10358.32
B00260,V05,Pro-tray,2024-07-31,2024-09-01,9644,8941,8370,571,0.927,5979.28,2503.48
