customer_id,customer_type,village,distance_km,first_order_date
C0237,Retail farmer,Kapadvanj,40,2024-06-21
C0238,Retail farmer,Kathlal,35,2024-06-22
C0239,Retail farmer,Anand,42,2024-06-22
C0240,Retail farmer,Kathlal,35,2024-06-23
C0241,Retail farmer,Anand,42,2024-06-23
C0242,Retail farmer,Dakor,12,2024-06-23
C0243,Retail farmer,Nadiad,38,2024-06-23
C0244,Retail farmer,Jesapura,1,2024-06-23
C0245,Retail farmer,Nadiad,38,2024-06-24
C0246,Retail farmer,Anand,42,2024-06-24
C0247,Retail farmer,Balasinor,28,2024-06-24
C0248,Wholesale / dealer,Dakor,12,2024-06-24
C0249,Wholesale / dealer,Dakor,12,2024-06-24
C0250,Retail farmer,Mithapura,1,2024-06-24
C0251,Retail farmer,Nadiad,38,2024-06-25
C0252,Retail farmer,Dakor,12,2024-06-25
C0253,Home gardener,Jesapura,1,2024-06-25
C0254,Retail farmer,Nadiad,38,2024-06-26
C0255,Retail farmer,Balasinor,28,2024-06-26
C0256,Wholesale / dealer,Umreth,22,2024-06-26
C0257,Retail farmer,Sevalia,18,2024-06-26
C0258,Retail farmer,Sevalia,18,2024-06-27
C0259,Retail farmer,Jesapura,1,2024-06-27
C0260,Home gardener,Sevalia,18,2024-06-27
C0261,Retail farmer,Thasra,9,2024-06-27
C0262,Wholesale / dealer,Dakor,12,2024-06-28
C0263,Retail farmer,Mahudha,30,2024-06-28
C0264,Home gardener,Thasra,9,2024-06-28
C0265,Retail farmer,Anand,42,2024-06-28
C0266,Wholesale / dealer,Kapadvanj,40,2024-06-28
C0267,Retail farmer,Anand,42,2024-06-28
C0268,Retail farmer,Dakor,12,2024-06-28
C0269,Retail farmer,Mithapura,1,2024-06-29
C0270,Retail farmer,Mahudha,30,2024-06-29
C0271,Wholesale / dealer,Nadiad,38,2024-06-29
C0272,Retail farmer,Sevalia,18,2024-06-29
C0273,Retail farmer,Umreth,22,2024-06-29
C0274,Retail farmer,Umreth,22,2024-06-30
C0275,Retail farmer,Thasra,9,2024-06-30
C0276,Retail farmer,Mahudha,30,2024-06-30
C0277,Retail farmer,Sevalia,18,2024-06-30
C0278,Retail farmer,Jesapura,1,2024-07-01
C0279,Retail farmer,Umreth,22,2024-07-01
C0280,Retail farmer,Thasra,9,2024-07-01
C0281,Retail farmer,Dakor,12,2024-07-01
C0282,Retail farmer,Nadiad,38,2024-07-01
C0283,Retail farmer,Thasra,9,2024-07-01
C0284,Retail farmer,Sevalia,18,2024-07-01
C0285,Retail farmer,Balasinor,28,2024-07-01
C0286,Retail farmer,Mithapura,1,2024-07-02
C0287,Wholesale / dealer,Anand,42,2024-07-02
C0288,Retail farmer,Dakor,12,2024-07-02
C0289,Retail farmer,Dakor,12,2024-07-02
C0290,Retail farmer,Umreth,22,2024-07-02
C0291,Home gardener,Mahudha,30,2024-07-02
C0292,Wholesale / dealer,Anand,42,2024-07-02
C0293,Home gardener,Kathlal,35,2024-07-02
C0294,Retail farmer,Kapadvanj,40,2024-07-02
C0295,Retail farmer,Thasra,9,2024-07-03
C0296,Retail farmer,Sevalia,18,2024-07-03
C0297,Retail farmer,Thasra,9,2024-07-03
C0298,Home gardener,Dakor,12,2024-07-03
C0299,Retail farmer,Sevalia,18,2024-07-03
C0300,Retail farmer,Thasra,9,2024-07-03
C0301,Retail farmer,Sevalia,18,2024-07-03
C0302,Home gardener,Dakor,12,2024-07-03
C0303,Retail farmer,Anand,42,2024-07-03
C0304,Retail farmer,Mithapura,1,2024-07-03
C0305,Retail farmer,Mithapura,1,2024-07-04
C0306,Home gardener,Mahudha,30,2024-07-04
C0307,Retail farmer,Kapadvanj,40,2024-07-04
C0308,Retail farmer,Umreth,22,2024-07-04
C0309,Retail farmer,Anand,42,2024-07-04
C0310,Retail farmer,Balasinor,28,2024-07-04
C0311,Retail farmer,Dakor,12,2024-07-04
C0312,Wholesale / dealer,Dakor,12,2024-07-05
C0313,Retail farmer,Mithapura,1,2024-07-05
C0314,Retail farmer,Mahudha,30,2024-07-05
C0315,Retail farmer,Dakor,12,2024-07-05
C0316,Retail farmer,Sevalia,18,2024-07-05
C0317,Retail farmer,Nadiad,38,2024-07-05
C0318,Retail farmer,Kathlal,35,2024-07-05
C0319,Wholesale / dealer,Umreth,22,2024-07-05
C0320,Home gardener,Balasinor,28,2024-07-06
C0321,Retail farmer,Thasra,9,2024-07-06
C0322,Retail farmer,Kapadvanj,40,2024-07-06
C0323,Wholesale / dealer,Umreth,22,2024-07-06
C0324,Retail farmer,Thasra,9,2024-07-06
C0325,Retail farmer,Thasra,9,2024-07-07
C0326,Retail farmer,Kathlal,35,2024-07-07
C0327,Retail farmer,Sevalia,18,2024-07-07
C0328,Retail farmer,Dakor,12,2024-07-07
C0329,Retail farmer,Balasinor,28,2024-07-07
C0330,Retail farmer,Kathlal,35,2024-07-07
C0331,Retail farmer,Jesapura,1,2024-07-07
C0332,Retail farmer,Nadiad,38,2024-07-07
C0333,Retail farmer,Jesapura,1,2024-07-07
C0334,Retail farmer,Kapadvanj,40,2024-07-07
C0335,Retail farmer,Jesapura,1,2024-07-07
C0336,Retail farmer,Umreth,22,2024-07-08
C0337,Retail farmer,Balasinor,28,2024-07-08
C0338,Retail farmer,Umreth,22,2024-07-08
C0339,Home gardener,Mahudha,30,2024-07-08
C0340,Wholesale / dealer,Umreth,22,2024-07-09
C0341,Retail farmer,Umreth,22,2024-07-09
C0342,Retail farmer,Nadiad,38,2024-07-09
C0343,Retail farmer,Jesapura,1,2024-07-09
C0344,Retail farmer,Mithapura,1,2024-07-09
C0345,Retail farmer,Kapadvanj,40,2024-07-09
C0346,Retail farmer,Balasinor,28,2024-07-09
C0347,Wholesale / dealer,Anand,42,2024-07-09
C0348,Retail farmer,Mahudha,30,2024-07-09
C0349,Retail farmer,Nadiad,38,2024-07-10
C0350,Retail farmer,Thasra,9,2024-07-10
C0351,Retail farmer,Nadiad,38,2024-07-10
C0352,Retail farmer,Mahudha,30,2024-07-10
C0353,Retail farmer,Sevalia,18,2024-07-10
C0354,Retail farmer,Kathlal,35,2024-07-11
C0355,Retail farmer,Kathlal,35,2024-07-11
C0356,Home gardener,Thasra,9,2024-07-11
C0357,Retail farmer,Sevalia,18,2024-07-11
C0358,Retail farmer,Kapadvanj,40,2024-07-11
C0359,Home gardener,Thasra,9,2024-07-12
C0360,Retail farmer,Nadiad,38,2024-07-12
C0361,Wholesale / dealer,Umreth,22,2024-07-12
C0362,Retail farmer,Kapadvanj,40,2024-07-12
C0363,Wholesale / dealer,Anand,42,2024-07-12
C0364,Retail farmer,Mahudha,30,2024-07-12
C0365,Retail farmer,Kapadvanj,40,2024-07-12
C0366,Retail farmer,Mahudha,30,2024-07-12
C0367,Retail farmer,Mahudha,30,2024-07-13
C0368,Retail farmer,Mahudha,30,2024-07-13
C0369,Retail farmer,Thasra,9,2024-07-13
C0370,Retail farmer,Thasra,9,2024-07-13
C0371,Retail farmer,Thasra,9,2024-07-13
C0372,Retail farmer,Thasra,9,2024-07-14
C0373,Retail farmer,Balasinor,28,2024-07-14
C0374,Retail farmer,Mithapura,1,2024-07-14
C0375,Retail farmer,Dakor,12,2024-07-14
C0376,Home gardener,Mahudha,30,2024-07-14
C0377,Retail farmer,Dakor,12,2024-07-15
C0378,Retail farmer,Mahudha,30,2024-07-15
C0379,Retail farmer,Kapadvanj,40,2024-07-15
C0380,Retail farmer,Kapadvanj,40,2024-07-15
C0381,Retail farmer,Dakor,12,2024-07-16
C0382,Home gardener,Mithapura,1,2024-07-16
C0383,Retail farmer,Sevalia,18,2024-07-16
C0384,Retail farmer,Mahudha,30,2024-07-16
C0385,Retail farmer,Dakor,12,2024-07-16
C0386,Retail farmer,Kapadvanj,40,2024-07-16
C0387,Retail farmer,Kapadvanj,40,2024-07-16
C0388,Retail farmer,Dakor,12,2024-07-16
C0389,Home gardener,Balasinor,28,2024-07-16
C0390,Retail farmer,Jesapura,1,2024-07-17
C0391,Retail farmer,Sevalia,18,2024-07-17
C0392,Retail farmer,Anand,42,2024-07-17
C0393,Retail farmer,Jesapura,1,2024-07-17
C0394,Retail farmer,Nadiad,38,2024-07-17
C0395,Home gardener,Umreth,22,2024-07-17
C0396,Retail farmer,Thasra,9,2024-07-17
C0397,Retail farmer,Nadiad,38,2024-07-18
C0398,Home gardener,Anand,42,2024-07-18
C0399,Retail farmer,Kathlal,35,2024-07-18
C0400,Retail farmer,Kapadvanj,40,2024-07-19
C0401,Retail farmer,Mithapura,1,2024-07-19
C0402,Retail farmer,Mahudha,30,2024-07-19
C0403,Home gardener,Dakor,12,2024-07-19
C0404,Wholesale / dealer,Anand,42,2024-07-19
C0405,Retail farmer,Umreth,22,2024-07-19
C0406,Retail farmer,Umreth,22,2024-07-19
C0407,Retail farmer,Thasra,9,2024-07-20
C0408,Retail farmer,Anand,42,2024-07-20
C0409,Wholesale / dealer,Sevalia,18,2024-07-20
C0410,Wholesale / dealer,Sevalia,18,2024-07-20
C0411,Retail farmer,Balasinor,28,2024-07-20
C0412,Retail farmer,Thasra,9,2024-07-20
C0413,Retail farmer,Umreth,22,2024-07-20
C0414,Wholesale / dealer,Kathlal,35,2024-07-21
C0415,Retail farmer,Umreth,22,2024-07-21
C0416,Retail farmer,Kathlal,35,2024-07-21
C0417,Wholesale / dealer,Jesapura,1,2024-07-21
C0418,Wholesale / dealer,Anand,42,2024-07-22
C0419,Home gardener,Nadiad,38,2024-07-22
C0420,Retail farmer,Thasra,9,2024-07-22
C0421,Retail farmer,Anand,42,2024-07-22
C0422,Retail farmer,Dakor,12,2024-07-23
C0423,Retail farmer,Nadiad,38,2024-07-23
C0424,Retail farmer,Kapadvanj,40,2024-07-23
C0425,Retail farmer,Nadiad,38,2024-07-24
C0426,Retail farmer,Thasra,9,2024-07-24
C0427,Wholesale / dealer,Jesapura,1,2024-07-25
C0428,Retail farmer,Sevalia,18,2024-07-25
C0429,Retail farmer,Jesapura,1,2024-07-25
C0430,Retail farmer,Mahudha,30,2024-07-26
C0431,Home gardener,Nadiad,38,2024-07-26
C0432,Retail farmer,Umreth,22,2024-07-26
C0433,Retail farmer,Nadiad,38,2024-07-26
C0434,Retail farmer,Umreth,22,2024-07-26
C0435,Retail farmer,Mahudha,30,2024-07-26
C0436,Retail farmer,Kapadvanj,40,2024-07-26
C0437,Retail farmer,Jesapura,1,2024-07-26
C0438,Retail farmer,Dakor,12,2024-07-26
C0439,Home gardener,Kapadvanj,40,2024-07-26
C0440,Retail farmer,Kathlal,35,2024-07-27
C0441,Retail farmer,Kapadvanj,40,2024-07-27
C0442,Home gardener,Thasra,9,2024-07-27
C0443,Retail farmer,Thasra,9,2024-07-27
C0444,Retail farmer,Kathlal,35,2024-07-27
C0445,Retail farmer,Thasra,9,2024-07-27
C0446,Home gardener,Sevalia,18,2024-07-27
C0447,Retail farmer,Sevalia,18,2024-07-28
C0448,Retail farmer,Mithapura,1,2024-07-28
C0449,Retail farmer,Jesapura,1,2024-07-28
C0450,Retail farmer,Mahudha,30,2024-07-28
C0451,Retail farmer,Mithapura,1,2024-07-28
C0452,Retail farmer,Mahudha,30,2024-07-28
C0453,Retail farmer,Anand,42,2024-07-29
C0454,Retail farmer,Kathlal,35,2024-07-29
C0455,Retail farmer,Dakor,12,2024-07-29
C0456,Retail farmer,Balasinor,28,2024-07-29
C0457,Retail farmer,Sevalia,18,2024-07-29
C0458,Retail farmer,Jesapura,1,2024-07-29
C0459,Retail farmer,Dakor,12,2024-07-30
C0460,Retail farmer,Thasra,9,2024-07-30
C0461,Retail farmer,Anand,42,2024-07-31
C0462,Retail farmer,Mithapura,1,2024-07-31
C0463,Retail farmer,Umreth,22,2024-07-31
C0464,Retail farmer,Mahudha,30,2024-07-31
C0465,Retail farmer,Thasra,9,2024-07-31
C0466,Retail farmer,Umreth,22,2024-07-31
C0467,Retail farmer,Mahudha,30,2024-08-01
C0468,Retail farmer,Thasra,9,2024-08-01
C0469,Retail farmer,Umreth,22,2024-08-01
C0470,Retail farmer,Balasinor,28,2024-08-01
C0471,Retail farmer,Mithapura,1,2024-08-01
C0472,Retail farmer,Sevalia,18,2024-08-01
C0473,Retail farmer,Mahudha,30,2024-08-01
C0474,Retail farmer,Dakor,12,2024-08-02
C0475,Wholesale / dealer,Thasra,9,2024-08-02
C0476,Retail farmer,Mahudha,30,2024-08-02
C0477,Retail farmer,Sevalia,18,2024-08-02
C0478,Wholesale / dealer,Nadiad,38,2024-08-02
C0479,Retail farmer,Kapadvanj,40,2024-08-02
C0480,Retail farmer,Thasra,9,2024-08-02
C0481,Retail farmer,Mithapura,1,2024-08-02
C0482,Home gardener,Mithapura,1,2024-08-02
C0483,Retail farmer,Thasra,9,2024-08-03
C0484,Retail farmer,Nadiad,38,2024-08-03
C0485,Wholesale / dealer,Mithapura,1,2024-08-03
C0486,Wholesale / dealer,Thasra,9,2024-08-03
C0487,Home gardener,Umreth,22,2024-08-04
C0488,Retail farmer,Kathlal,35,2024-08-04
C0489,Retail farmer,Kathlal,35,2024-08-04
C0490,Retail farmer,Jesapura,1,2024-08-04
C0491,Retail farmer,Anand,42,2024-08-04
C0492,Retail farmer,Kapadvanj,40,2024-08-04
C0493,Retail farmer,Dakor,12,2024-08-04
C0494,Wholesale / dealer,Umreth,22,2024-08-04
C0495,Home gardener,Thasra,9,2024-08-05
C0496,Home gardener,Kapadvanj,40,2024-08-05
C0497,Retail farmer,Nadiad,38,2024-08-05
C0498,Retail farmer,Sevalia,18,2024-08-05
C0499,Retail farmer,Balasinor,28,2024-08-05
C0500,Wholesale / dealer,Kathlal,35,2024-08-05
C0501,Wholesale / dealer,Thasra,9,2024-08-05
C0502,Retail farmer,Mahudha,30,2024-08-05
C0503,Wholesale / dealer,Mithapura,1,2024-08-06
C0504,Retail farmer,Thasra,9,2024-08-06
C0505,Retail farmer,Sevalia,18,2024-08-06
C0506,Retail farmer,Mithapura,1,2024-08-06
C0507,Retail farmer,Mithapura,1,2024-08-06
C0508,Retail farmer,Thasra,9,2024-08-06
C0509,Retail farmer,Anand,42,2024-08-07
C0510,Retail farmer,Nadiad,38,2024-08-07
C0511,Retail farmer,Kathlal,35,2024-08-07
C0512,Retail farmer,Mithapura,1,2024-08-07
C0513,Retail farmer,Umreth,22,2024-08-07
C0514,Wholesale / dealer,Mithapura,1,2024-08-08
C0515,Retail farmer,Mithapura,1,2024-08-08
C0516,Retail farmer,Kathlal,35,2024-08-08
C0517,Retail farmer,Jesapura,1,2024-08-08
C0518,Home gardener,Jesapura,1,2024-08-08
C0519,Home gardener,Jesapura,1,2024-08-08
C0520,Retail farmer,Anand,42,2024-08-08
C0521,Retail farmer,Nadiad,38,2024-08-08
C0522,Wholesale / dealer,Sevalia,18,2024-08-09
C0523,Retail farmer,Dakor,12,2024-08-09
C0524,Retail farmer,Dakor,12,2024-08-09
C0525,Retail farmer,Jesapura,1,2024-08-09
C0526,Retail farmer,Dakor,12,2024-08-09
C0527,Retail farmer,Dakor,12,2024-08-09
C0528,Retail farmer,Balasinor,28,2024-08-09
C0529,Retail farmer,Anand,42,2024-08-09
C0530,Wholesale / dealer,Kapadvanj,40,2024-08-09
C0531,Retail farmer,Thasra,9,2024-08-10
C0532,Retail farmer,Umreth,22,2024-08-10
C0533,Retail farmer,Kapadvanj,40,2024-08-10
C0534,Retail farmer,Sevalia,18,2024-08-10
C0535,Retail farmer,Balasinor,28,2024-08-10
C0536,Retail farmer,Jesapura,1,2024-08-10
C0537,Retail farmer,Nadiad,38,2024-08-10
C0538,Retail farmer,Anand,42,2024-08-10
C0539,Retail farmer,Kathlal,35,2024-08-10
