order_id,order_date,customer_id,customer_type,variety_id,crop,method,quantity,unit_price_inr,discount_pct,revenue_inr,payment_mode,channel,fulfilment
O000019,2024-01-11,C0002,Retail farmer,V02,Chilli,Nursery bed,4100,1.03,0.0,4223.0,Cash,Phone call,Self pickup
O000020,2024-01-11,C0007,Retail farmer,V01,Chilli,Nursery bed,1900,1.09,0.0,2071.0,Cash,Walk-in,Self pickup
O000021,2024-01-12,C0014,Home gardener,V12,Tomato,Pro-tray,30,1.81,0.0,54.3,Cash,Walk-in,Van delivery
O000022,2024-01-12,C0015,Retail farmer,V12,Tomato,Nursery bed,500,1.28,0.0,640.0,Credit,WhatsApp,Self pickup
O000023,2024-01-12,C0006,Retail farmer,V13,Brinjal,Nursery bed,200,0.79,0.0,158.0,UPI,Walk-in,Self pickup
O000024,2024-01-14,C0016,Retail farmer,V11,Capsicum,Pro-tray,2300,3.23,0.0,7429.0,UPI,Walk-in,Self pickup
O000025,2024-01-14,C0014,Home gardener,V13,Brinjal,Pro-tray,110,1.22,0.0,134.2,Cash,WhatsApp,Self pickup
O000026,2024-01-15,C0016,Retail farmer,V01,Chilli,Nursery bed,1000,1.1,0.0,1100.0,UPI,Walk-in,Self pickup
O000027,2024-01-15,C0017,Retail farmer,V05,Chilli,Nursery bed,1100,1.09,0.0,1199.0,Cash,Walk-in,Self pickup
O000028,2024-01-15,C0017,Retail farmer,V03,Chilli,Nursery bed,1700,1.13,0.0,1921.0,Cash,Walk-in,Self pickup
O000029,2024-01-15,C0002,Retail farmer,V13,Brinjal,Nursery bed,900,0.82,0.0,738.0,UPI,WhatsApp,Self pickup
O000030,2024-01-16,C0018,Retail farmer,V12,Tomato,Pro-tray,500,1.79,0.0,895.0,Cash,WhatsApp,Self pickup
O000031,2024-01-16,C0004,Retail farmer,V13,Brinjal,Nursery bed,600,0.81,0.0,486.0,Cash,WhatsApp,Van delivery
O000032,2024-01-16,C0004,Retail farmer,V15,Marigold,Pro-tray,1100,1.65,0.0,1815.0,UPI,Phone call,Self pickup
O000033,2024-01-17,C0019,Retail farmer,V12,Tomato,Pro-tray,2500,1.81,0.0,4525.0,UPI,Walk-in,Self pickup
O000034,2024-01-17,C0020,Retail farmer,V12,Tomato,Nursery bed,1500,1.26,0.0,1890.0,Cash,WhatsApp,Van delivery
O000035,2024-01-17,C0021,Retail farmer,V15,Marigold,Pro-tray,1500,1.75,0.0,2625.0,Cash,Phone call,Self pickup
O000036,2024-01-20,C0002,Retail farmer,V01,Chilli,Nursery bed,800,1.07,0.0,856.0,Cash,Walk-in,Self pickup
O000037,2024-01-21,C0016,Retail farmer,V03,Chilli,Pro-tray,3300,1.69,0.0,5577.0,Credit,Walk-in,Self pickup
O000038,2024-01-21,C0016,Retail farmer,V08,Chilli,Pro-tray,2100,1.51,0.0,3171.0,UPI,Walk-in,Self pickup
O000039,2024-01-21,C0022,Retail farmer,V12,Tomato,Pro-tray,2000,1.81,0.0,3620.0,Cash,Walk-in,Self pickup
O000040,2024-01-22,C0023,Retail farmer,V01,Chilli,Pro-tray,1800,1.52,0.0,2736.0,Cash,Phone call,Self pickup
O000041,2024-01-22,C0012,Retail farmer,V11,Capsicum,Pro-tray,1000,3.19,0.0,3190.0,Cash,Walk-in,Self pickup
O000042,2024-01-23,C0024,Retail farmer,V01,Chilli,Pro-tray,1000,1.56,0.0,1560.0,UPI,Phone call,Self pickup
O000043,2024-01-23,C0022,Retail farmer,V13,Brinjal,Nursery bed,800,0.8,0.0,640.0,UPI,Walk-in,Van delivery
O000044,2024-01-24,C0017,Retail farmer,V01,Chilli,Pro-tray,1000,1.55,0.0,1550.0,Cash,Phone call,Self pickup
O000045,2024-01-24,C0025,Retail farmer,V06,Chilli,Nursery bed,3100,0.9,0.0,2790.0,UPI,WhatsApp,Self pickup
O000046,2024-01-24,C0001,Retail farmer,V13,Brinjal,Nursery bed,500,0.79,0.0,395.0,UPI,Phone call,Van delivery
O000047,2024-01-24,C0026,Retail farmer,V14,Marigold,Nursery bed,1600,1.32,0.0,2112.0,Cash,Walk-in,Self pickup
O000048,2024-01-26,C0027,Retail farmer,V01,Chilli,Pro-tray,3300,1.58,0.0,5214.0,Cash,Walk-in,Self pickup
O000049,2024-01-26,C0028,Retail farmer,V06,Chilli,Pro-tray,400,1.29,0.0,516.0,UPI,Walk-in,Self pickup
O000050,2024-01-26,C0004,Retail farmer,V01,Chilli,Pro-tray,2000,1.57,0.0,3140.0,UPI,WhatsApp,Self pickup
O000051,2024-01-26,C0020,Retail farmer,V13,Brinjal,Nursery bed,2500,0.78,0.0,1950.0,Cash,Walk-in,Self pickup
O000052,2024-01-27,C0029,Retail farmer,V12,Tomato,Pro-tray,500,1.84,0.0,920.0,Cash,Phone call,Self pickup
O000053,2024-01-27,C0001,Retail farmer,V12,Tomato,Pro-tray,4400,1.81,0.0,7964.0,UPI,Phone call,Self pickup
O000054,2024-01-27,C0030,Retail farmer,V13,Brinjal,Nursery bed,700,0.8,0.0,560.0,Cash,Phone call,Self pickup
O000055,2024-01-28,C0009,Wholesale / dealer,V02,Chilli,Pro-tray,4100,1.48,8.2,5570.42,Cash,Walk-in,Self pickup
O000056,2024-01-30,C0031,Retail farmer,V12,Tomato,Pro-tray,500,1.82,0.0,910.0,Cash,Walk-in,Self pickup
O000057,2024-01-30,C0009,Wholesale / dealer,V13,Brinjal,Nursery bed,3500,0.78,8.4,2500.68,UPI,Walk-in,Self pickup
O000058,2024-01-30,C0031,Retail farmer,V15,Marigold,Pro-tray,1000,1.74,0.0,1740.0,Cash,WhatsApp,Self pickup
O000059,2024-01-31,C0022,Retail farmer,V13,Brinjal,Pro-tray,1300,1.17,0.0,1521.0,Cash,Walk-in,Self pickup
O000060,2024-02-01,C0032,Retail farmer,V06,Chilli,Pro-tray,1700,1.32,0.0,2244.0,Cash,Walk-in,Van delivery
O000061,2024-02-01,C0033,Home gardener,V11,Capsicum,Pro-tray,90,3.22,0.0,289.8,Cash,Walk-in,Self pickup
O000062,2024-02-01,C0034,Retail farmer,V12,Tomato,Nursery bed,1200,1.26,0.0,1512.0,UPI,Walk-in,Self pickup
O000063,2024-02-01,C0022,Retail farmer,V13,Brinjal,Nursery bed,1000,0.8,0.0,800.0,Cash,WhatsApp,Self pickup
O000064,2024-02-01,C0035,Home gardener,V13,Brinjal,Pro-tray,140,1.23,0.0,172.2,Credit,Walk-in,Self pickup
O000065,2024-02-02,C0007,Retail farmer,V07,Chilli,Nursery bed,800,0.9,0.0,720.0,UPI,Phone call,Self pickup
O000066,2024-02-02,C0036,Retail farmer,V13,Brinjal,Pro-tray,1100,1.21,0.0,1331.0,UPI,Walk-in,Self pickup
O000067,2024-02-04,C0005,Wholesale / dealer,V11,Capsicum,Pro-tray,2200,3.14,10.1,6210.29,UPI,Walk-in,Self pickup
O000068,2024-02-05,C0037,Retail farmer,V12,Tomato,Nursery bed,600,1.22,0.0,732.0,Cash,Walk-in,Self pickup
O000069,2024-02-06,C0038,Retail farmer,V13,Brinjal,Pro-tray,1100,1.22,0.0,1342.0,UPI,Walk-in,Self pickup
O000070,2024-02-08,C0022,Retail farmer,V12,Tomato,Pro-tray,1000,1.85,0.0,1850.0,Credit,Phone call,Self pickup
O000071,2024-02-08,C0039,Retail farmer,V12,Tomato,Pro-tray,1300,1.76,0.0,2288.0,Credit,Walk-in,Self pickup
O000072,2024-02-09,C0040,Retail farmer,V12,Tomato,Pro-tray,1000,1.77,0.0,1770.0,Credit,Phone call,Self pickup
O000073,2024-02-09,C0009,Wholesale / dealer,V13,Brinjal,Nursery bed,16200,0.81,8.8,11967.26,Credit,Walk-in,Self pickup
O000074,2024-02-11,C0001,Retail farmer,V04,Chilli,Nursery bed,700,1.2,0.0,840.0,Credit,Walk-in,Self pickup
O000075,2024-02-11,C0041,Retail farmer,V01,Chilli,Pro-tray,1800,1.57,0.0,2826.0,Credit,Walk-in,Self pickup
O000076,2024-02-11,C0023,Retail farmer,V12,Tomato,Pro-tray,1300,1.79,0.0,2327.0,UPI,Walk-in,Self pickup
O000077,2024-02-12,C0022,Retail farmer,V01,Chilli,Nursery bed,600,1.08,0.0,648.0,UPI,Walk-in,Van delivery
O000078,2024-02-12,C0042,Retail farmer,V06,Chilli,Nursery bed,1900,0.9,0.0,1710.0,UPI,WhatsApp,Self pickup
O000079,2024-02-12,C0043,Retail farmer,V12,Tomato,Pro-tray,1200,1.81,0.0,2172.0,Cash,WhatsApp,Self pickup
O000080,2024-02-13,C0044,Retail farmer,V12,Tomato,Nursery bed,1300,1.25,0.0,1625.0,Cash,Walk-in,Self pickup
O000081,2024-02-13,C0024,Retail farmer,V12,Tomato,Pro-tray,900,1.84,0.0,1656.0,Cash,Walk-in,Self pickup
O000082,2024-02-13,C0045,Retail farmer,V15,Marigold,Pro-tray,1400,1.69,0.0,2366.0,UPI,WhatsApp,Self pickup
O000083,2024-02-14,C0038,Retail farmer,V06,Chilli,Pro-tray,600,1.27,0.0,762.0,Cash,Walk-in,Self pickup
O000084,2024-02-14,C0046,Wholesale / dealer,V12,Tomato,Nursery bed,10400,1.24,8.2,11838.53,Credit,Walk-in,Self pickup
O000085,2024-02-14,C0047,Retail farmer,V12,Tomato,Nursery bed,1000,1.25,0.0,1250.0,Credit,Walk-in,Self pickup
O000086,2024-02-15,C0048,Retail farmer,V13,Brinjal,Pro-tray,800,1.23,0.0,984.0,UPI,Walk-in,Self pickup
O000087,2024-02-16,C0002,Retail farmer,V13,Brinjal,Pro-tray,900,1.17,0.0,1053.0,Cash,Walk-in,Self pickup
O000088,2024-02-16,C0041,Retail farmer,V14,Marigold,Pro-tray,1200,1.85,0.0,2220.0,UPI,Walk-in,Self pickup
O000089,2024-02-17,C0046,Wholesale / dealer,V14,Marigold,Pro-tray,1600,1.79,11.0,2548.96,Credit,Phone call,Self pickup
O000090,2024-02-19,C0019,Retail farmer,V15,Marigold,Pro-tray,3500,1.71,0.0,5985.0,Cash,Phone call,Van delivery
O000091,2024-02-20,C0049,Retail farmer,V14,Marigold,Pro-tray,1400,1.81,0.0,2534.0,Cash,WhatsApp,Van delivery
O000092,2024-02-21,C0050,Retail farmer,V13,Brinjal,Nursery bed,500,0.8,0.0,400.0,Cash,WhatsApp,Self pickup
O000093,2024-02-21,C0050,Retail farmer,V15,Marigold,Pro-tray,1400,1.71,0.0,2394.0,Cash,Walk-in,Self pickup
O000094,2024-02-22,C0007,Retail farmer,V03,Chilli,Nursery bed,1200,1.18,0.0,1416.0,Cash,Walk-in,Self pickup
O000095,2024-02-24,C0051,Retail farmer,V13,Brinjal,Nursery bed,1200,0.78,0.0,936.0,Credit,Walk-in,Van delivery
O000096,2024-02-25,C0052,Retail farmer,V08,Chilli,Pro-tray,2300,1.5,0.0,3450.0,UPI,Walk-in,Self pickup
O000097,2024-02-25,C0053,Retail farmer,V01,Chilli,Nursery bed,500,1.1,0.0,550.0,Credit,WhatsApp,Self pickup
O000098,2024-02-25,C0054,Retail farmer,V15,Marigold,Pro-tray,2400,1.69,0.0,4056.0,Cash,Walk-in,Self pickup
O000099,2024-02-27,C0034,Retail farmer,V03,Chilli,Nursery bed,1700,1.15,0.0,1955.0,Cash,Walk-in,Self pickup
O000100,2024-02-27,C0017,Retail farmer,V12,Tomato,Pro-tray,1700,1.84,0.0,3128.0,UPI,Walk-in,Van delivery
O000101,2024-02-27,C0001,Retail farmer,V14,Marigold,Nursery bed,1000,1.33,0.0,1330.0,UPI,Walk-in,Self pickup
O000102,2024-02-27,C0047,Retail farmer,V15,Marigold,Pro-tray,1000,1.69,0.0,1690.0,Cash,WhatsApp,Self pickup
O000103,2024-02-28,C0055,Retail farmer,V11,Capsicum,Pro-tray,1400,3.27,0.0,4578.0,Credit,Walk-in,Self pickup
O000104,2024-02-28,C0056,Retail farmer,V12,Tomato,Pro-tray,500,1.79,0.0,895.0,Cash,Walk-in,Self pickup
O000105,2024-02-28,C0057,Retail farmer,V12,Tomato,Pro-tray,400,1.85,0.0,740.0,Cash,Walk-in,Self pickup
O000106,2024-02-29,C0030,Retail farmer,V13,Brinjal,Nursery bed,3100,0.82,0.0,2542.0,Credit,Walk-in,Self pickup
O000107,2024-02-29,C0019,Retail farmer,V14,Marigold,Pro-tray,2600,1.82,0.0,4732.0,UPI,Walk-in,Self pickup
O000108,2024-03-02,C0044,Retail farmer,V10,Chilli,Pro-tray,2800,1.34,0.0,3752.0,Cash,Phone call,Van delivery
O000109,2024-03-02,C0058,Retail farmer,V11,Capsicum,Pro-tray,1200,3.23,0.0,3876.0,UPI,Walk-in,Self pickup
O000110,2024-03-02,C0040,Retail farmer,V13,Brinjal,Pro-tray,1600,1.2,0.0,1920.0,UPI,Walk-in,Self pickup
O000111,2024-03-03,C0059,Retail farmer,V12,Tomato,Nursery bed,1000,1.23,0.0,1230.0,Cash,Walk-in,Self pickup
O000112,2024-03-04,C0060,Retail farmer,V02,Chilli,Pro-tray,1100,1.52,0.0,1672.0,Cash,Walk-in,Self pickup
O000113,2024-03-04,C0026,Retail farmer,V12,Tomato,Pro-tray,1600,1.77,0.0,2832.0,UPI,Walk-in,Self pickup
O000114,2024-03-05,C0015,Retail farmer,V12,Tomato,Nursery bed,300,1.28,0.0,384.0,Credit,Phone call,Van delivery
O000115,2024-03-06,C0061,Retail farmer,V05,Chilli,Nursery bed,4500,1.1,0.0,4950.0,UPI,Phone call,Self pickup
O000116,2024-03-07,C0062,Retail farmer,V01,Chilli,Pro-tray,1000,1.59,0.0,1590.0,Cash,Phone call,Self pickup
O000117,2024-03-07,C0026,Retail farmer,V02,Chilli,Nursery bed,1600,1.06,0.0,1696.0,UPI,Walk-in,Self pickup
O000118,2024-03-08,C0061,Retail farmer,V01,Chilli,Pro-tray,2600,1.6,0.0,4160.0,Cash,Walk-in,Self pickup
O000119,2024-03-08,C0063,Retail farmer,V13,Brinjal,Pro-tray,400,1.23,0.0,492.0,UPI,Phone call,Self pickup
O000120,2024-03-08,C0018,Retail farmer,V15,Marigold,Pro-tray,2400,1.67,0.0,4008.0,Cash,Walk-in,Self pickup
O000121,2024-03-09,C0053,Retail farmer,V02,Chilli,Pro-tray,1000,1.49,0.0,1490.0,Cash,Phone call,Van delivery
O000122,2024-03-09,C0064,Retail farmer,V13,Brinjal,Nursery bed,2200,0.78,0.0,1716.0,UPI,Walk-in,Van delivery
O000123,2024-03-10,C0037,Retail farmer,V08,Chilli,Nursery bed,1200,1.07,0.0,1284.0,Cash,Walk-in,Self pickup
O000124,2024-03-10,C0065,Retail farmer,V09,Chilli,Pro-tray,2000,1.72,0.0,3440.0,Cash,Walk-in,Self pickup
O000125,2024-03-10,C0042,Retail farmer,V10,Chilli,Pro-tray,1400,1.35,0.0,1890.0,Credit,Walk-in,Self pickup
O000126,2024-03-10,C0021,Retail farmer,V07,Chilli,Pro-tray,600,1.28,0.0,768.0,Cash,Phone call,Self pickup
O000127,2024-03-11,C0066,Wholesale / dealer,V03,Chilli,Nursery bed,7200,1.18,8.2,7799.33,Credit,Walk-in,Self pickup
O000128,2024-03-11,C0043,Retail farmer,V13,Brinjal,Nursery bed,700,0.81,0.0,567.0,UPI,Walk-in,Self pickup
O000129,2024-03-12,C0016,Retail farmer,V12,Tomato,Nursery bed,1300,1.28,0.0,1664.0,Cash,Walk-in,Self pickup
O000130,2024-03-12,C0005,Wholesale / dealer,V15,Marigold,Pro-tray,6100,1.74,10.6,9488.92,UPI,Phone call,Van delivery
O000131,2024-03-13,C0067,Retail farmer,V02,Chilli,Pro-tray,3400,1.53,0.0,5202.0,Cash,Phone call,Self pickup
O000132,2024-03-13,C0027,Retail farmer,V13,Brinjal,Pro-tray,1300,1.21,0.0,1573.0,UPI,Phone call,Self pickup
O000133,2024-03-15,C0050,Retail farmer,V05,Chilli,Nursery bed,700,1.12,0.0,784.0,UPI,WhatsApp,Self pickup
O000134,2024-03-15,C0065,Retail farmer,V07,Chilli,Pro-tray,1600,1.25,0.0,2000.0,Credit,Walk-in,Self pickup
O000135,2024-03-16,C0068,Wholesale / dealer,V05,Chilli,Pro-tray,3900,1.61,9.3,5695.05,UPI,Walk-in,Self pickup
O000136,2024-03-16,C0064,Retail farmer,V07,Chilli,Nursery bed,500,0.87,0.0,435.0,Cash,Walk-in,Self pickup
O000137,2024-03-16,C0022,Retail farmer,V11,Capsicum,Nursery bed,1800,2.4,0.0,4320.0,UPI,Walk-in,Self pickup
O000138,2024-03-16,C0069,Retail farmer,V11,Capsicum,Pro-tray,500,3.21,0.0,1605.0,UPI,Walk-in,Self pickup
O000139,2024-03-18,C0069,Retail farmer,V01,Chilli,Nursery bed,1300,1.07,0.0,1391.0,Cash,Phone call,Self pickup
O000140,2024-03-19,C0070,Home gardener,V12,Tomato,Pro-tray,140,1.77,0.0,247.8,UPI,Phone call,Self pickup
O000141,2024-03-20,C0005,Wholesale / dealer,V03,Chilli,Nursery bed,6800,1.16,10.4,7067.65,Credit,Phone call,Van delivery
O000142,2024-03-22,C0071,Retail farmer,V01,Chilli,Nursery bed,800,1.07,0.0,856.0,UPI,WhatsApp,Self pickup
O000143,2024-03-22,C0072,Retail farmer,V12,Tomato,Pro-tray,1000,1.83,0.0,1830.0,Cash,Phone call,Self pickup
O000144,2024-03-22,C0073,Retail farmer,V14,Marigold,Pro-tray,1000,1.85,0.0,1850.0,UPI,Walk-in,Self pickup
O000145,2024-03-23,C0056,Retail farmer,V12,Tomato,Pro-tray,400,1.82,0.0,728.0,Cash,Walk-in,Self pickup
O000146,2024-03-23,C0056,Retail farmer,V14,Marigold,Nursery bed,1000,1.27,0.0,1270.0,Credit,Walk-in,Self pickup
O000147,2024-03-24,C0074,Retail farmer,V01,Chilli,Pro-tray,2300,1.55,0.0,3565.0,Cash,Walk-in,Self pickup
O000148,2024-03-25,C0075,Retail farmer,V06,Chilli,Pro-tray,1700,1.29,0.0,2193.0,Cash,Walk-in,Van delivery
O000149,2024-03-25,C0031,Retail farmer,V07,Chilli,Pro-tray,1800,1.26,0.0,2268.0,Credit,WhatsApp,Self pickup
O000150,2024-03-25,C0038,Retail farmer,V13,Brinjal,Pro-tray,400,1.23,0.0,492.0,Cash,Walk-in,Self pickup
O000151,2024-03-26,C0016,Retail farmer,V10,Chilli,Pro-tray,1000,1.33,0.0,1330.0,Cash,Phone call,Self pickup
O000152,2024-03-26,C0026,Retail farmer,V13,Brinjal,Pro-tray,1300,1.21,0.0,1573.0,Cash,Phone call,Self pickup
O000153,2024-03-27,C0073,Retail farmer,V06,Chilli,Pro-tray,1600,1.29,0.0,2064.0,Cash,Walk-in,Self pickup
O000154,2024-03-27,C0008,Wholesale / dealer,V07,Chilli,Nursery bed,2800,0.89,12.0,2192.96,UPI,Walk-in,Self pickup
O000155,2024-03-27,C0009,Wholesale / dealer,V14,Marigold,Pro-tray,3200,1.78,8.8,5194.75,UPI,Walk-in,Van delivery
O000156,2024-03-28,C0029,Retail farmer,V12,Tomato,Pro-tray,1600,1.83,0.0,2928.0,UPI,WhatsApp,Self pickup
O000157,2024-03-28,C0076,Retail farmer,V12,Tomato,Nursery bed,400,1.29,0.0,516.0,UPI,Walk-in,Self pickup
O000158,2024-03-28,C0064,Retail farmer,V13,Brinjal,Pro-tray,1100,1.17,0.0,1287.0,Cash,Walk-in,Self pickup
O000159,2024-03-29,C0037,Retail farmer,V03,Chilli,Pro-tray,1500,1.62,0.0,2430.0,Cash,Phone call,Self pickup
O000160,2024-03-29,C0023,Retail farmer,V10,Chilli,Nursery bed,1800,0.97,0.0,1746.0,Cash,Walk-in,Self pickup
O000161,2024-03-29,C0062,Retail farmer,V12,Tomato,Pro-tray,700,1.83,0.0,1281.0,Cash,Walk-in,Self pickup
O000162,2024-03-29,C0028,Retail farmer,V14,Marigold,Nursery bed,800,1.27,0.0,1016.0,Cash,WhatsApp,Self pickup
O000163,2024-03-29,C0067,Retail farmer,V14,Marigold,Pro-tray,500,1.85,0.0,925.0,Cash,Walk-in,Self pickup
O000164,2024-03-30,C0068,Wholesale / dealer,V13,Brinjal,Pro-tray,3400,1.23,11.0,3721.98,Credit,Walk-in,Self pickup
O000165,2024-04-01,C0031,Retail farmer,V03,Chilli,Pro-tray,1400,1.64,0.0,2296.0,UPI,WhatsApp,Self pickup
O000166,2024-04-02,C0077,Retail farmer,V01,Chilli,Nursery bed,1400,1.11,0.0,1554.0,UPI,Phone call,Self pickup
O000167,2024-04-02,C0071,Retail farmer,V01,Chilli,Nursery bed,2100,1.12,0.0,2352.0,UPI,Walk-in,Self pickup
O000168,2024-04-02,C0030,Retail farmer,V13,Brinjal,Nursery bed,600,0.81,0.0,486.0,Cash,Walk-in,Self pickup
O000169,2024-04-03,C0078,Retail farmer,V12,Tomato,Pro-tray,600,1.8,0.0,1080.0,Cash,Phone call,Van delivery
O000170,2024-04-04,C0079,Wholesale / dealer,V07,Chilli,Pro-tray,3600,1.22,9.6,3970.37,Cash,Walk-in,Self pickup
O000171,2024-04-05,C0080,Retail farmer,V06,Chilli,Nursery bed,5200,0.9,0.3,4665.96,Cash,Walk-in,Self pickup
O000172,2024-04-05,C0079,Wholesale / dealer,V12,Tomato,Pro-tray,2700,1.81,9.7,4412.96,Credit,Walk-in,Self pickup
O000173,2024-04-05,C0080,Retail farmer,V13,Brinjal,Nursery bed,1100,0.79,0.0,869.0,Cash,Walk-in,Self pickup
O000174,2024-04-06,C0039,Retail farmer,V01,Chilli,Nursery bed,3400,1.08,0.0,3672.0,UPI,Phone call,Van delivery
O000175,2024-04-06,C0081,Retail farmer,V13,Brinjal,Nursery bed,800,0.79,0.0,632.0,Cash,Phone call,Self pickup
O000176,2024-04-07,C0082,Retail farmer,V02,Chilli,Nursery bed,1800,1.04,0.0,1872.0,Credit,Phone call,Self pickup
O000177,2024-04-07,C0019,Retail farmer,V01,Chilli,Pro-tray,1200,1.51,0.0,1812.0,Credit,Walk-in,Self pickup
O000178,2024-04-07,C0046,Wholesale / dealer,V09,Chilli,Nursery bed,10000,1.21,11.0,10769.0,Credit,Phone call,Van delivery
O000179,2024-04-07,C0030,Retail farmer,V06,Chilli,Nursery bed,2800,0.91,0.0,2548.0,Credit,Walk-in,Self pickup
O000180,2024-04-08,C0081,Retail farmer,V07,Chilli,Nursery bed,2100,0.89,0.0,1869.0,Cash,Walk-in,Self pickup
O000181,2024-04-08,C0083,Wholesale / dealer,V06,Chilli,Pro-tray,3700,1.31,10.4,4342.91,UPI,Walk-in,Self pickup
O000182,2024-04-08,C0073,Retail farmer,V01,Chilli,Pro-tray,2800,1.54,0.0,4312.0,Credit,Walk-in,Van delivery
O000183,2024-04-09,C0084,Retail farmer,V10,Chilli,Pro-tray,2600,1.38,0.0,3588.0,Credit,Walk-in,Self pickup
O000184,2024-04-09,C0074,Retail farmer,V14,Marigold,Nursery bed,800,1.3,0.0,1040.0,UPI,Walk-in,Van delivery
O000185,2024-04-10,C0005,Wholesale / dealer,V02,Chilli,Pro-tray,3400,1.51,9.5,4646.27,UPI,WhatsApp,Self pickup
O000186,2024-04-10,C0031,Retail farmer,V12,Tomato,Nursery bed,1000,1.28,0.0,1280.0,UPI,Phone call,Self pickup
O000187,2024-04-11,C0001,Retail farmer,V03,Chilli,Nursery bed,1000,1.14,0.0,1140.0,Cash,Walk-in,Self pickup
O000188,2024-04-11,C0085,Retail farmer,V11,Capsicum,Pro-tray,1600,3.11,0.0,4976.0,UPI,Phone call,Self pickup
O000189,2024-04-12,C0018,Retail farmer,V07,Chilli,Nursery bed,2000,0.89,0.0,1780.0,UPI,Phone call,Van delivery
O000190,2024-04-12,C0078,Retail farmer,V01,Chilli,Pro-tray,1400,1.54,0.0,2156.0,Cash,Walk-in,Self pickup
O000191,2024-04-12,C0086,Home gardener,V12,Tomato,Pro-tray,110,1.79,0.0,196.9,Credit,WhatsApp,Self pickup
O000192,2024-04-12,C0087,Home gardener,V13,Brinjal,Pro-tray,30,1.21,0.0,36.3,Cash,WhatsApp,Self pickup
O000193,2024-04-13,C0088,Retail farmer,V08,Chilli,Nursery bed,1500,1.13,0.0,1695.0,Cash,WhatsApp,Self pickup
O000194,2024-04-14,C0089,Retail farmer,V04,Chilli,Pro-tray,3200,1.67,0.0,5344.0,UPI,Phone call,Self pickup
O000195,2024-04-14,C0090,Retail farmer,V07,Chilli,Nursery bed,2100,0.9,0.0,1890.0,Credit,Walk-in,Self pickup
O000196,2024-04-14,C0052,Retail farmer,V03,Chilli,Nursery bed,2700,1.13,0.0,3051.0,UPI,Walk-in,Self pickup
O000197,2024-04-14,C0026,Retail farmer,V12,Tomato,Nursery bed,900,1.24,0.0,1116.0,Cash,Phone call,Self pickup
O000198,2024-04-14,C0065,Retail farmer,V13,Brinjal,Nursery bed,1000,0.8,0.0,800.0,Cash,Phone call,Self pickup
O000199,2024-04-15,C0091,Retail farmer,V01,Chilli,Pro-tray,2200,1.57,0.0,3454.0,Cash,Walk-in,Self pickup
O000200,2024-04-15,C0061,Retail farmer,V02,Chilli,Pro-tray,1800,1.54,0.0,2772.0,Cash,Walk-in,Self pickup
O000201,2024-04-15,C0092,Home gardener,V05,Chilli,Pro-tray,90,1.61,0.0,144.9,Cash,Phone call,Self pickup
